No,Format,Runs,Against,Venue,H/A,Date
1,Test,116,Australia,Adelaide Oval, Adelaide,Away,24 January 2012
2,Test,103,New Zealand,M. Chinnaswamy Stadium, Bangalore,Home,31 August 2012
3,Test,103,England,Vidarbha Cricket Association Stadium, Nagpur,Home,13 December 2012
4,Test,107,Australia,M. A. Chidambaram Stadium, Chennai,Home,22 February 2013
5,Test,119,South Africa,Wanderers Stadium, Johannesburg,Away,18 December 2013
6,Test,105,New Zealand,Basin Reserve, Wellington,Away,14 February 2014
7,Test,115,Australia,Adelaide Oval, Adelaide,Away,9 December 2014
8,Test,141,Australia,Adelaide Oval, Adelaide,Away,9 December 2014
9,Test,169,Australia,Melbourne Cricket Ground, Melbourne,Away,26 December 2014
10,Test,147,Australia,Sydney Cricket Ground, Sydney,Away,6 January 2015
11,Test,103,Sri Lanka,Galle International Stadium, Galle,Away,12 August 2015
12,Test,200,West Indies,Sir Vivian Richards Stadium, Antigua,Away,21 July 2016
13,Test,211,New Zealand,Holkar Stadium, Indore,Home,8 October 2016
14,Test,167,England,ACA-VDCA Cricket Stadium, Visakhapatnam,Home,17 November 2016
15,Test,235,England,Wankhede Stadium, Mumbai,Home,8 December 2016
16,Test,204,Bangladesh,Rajiv Gandhi Stadium, Hyderabad,Home,9 February 2017
17,Test,103,Sri Lanka,Galle International Stadium, Galle,Away,26 July 2017
18,Test,104,Sri Lanka,Eden Gardens, Kolkata,Home,16 November 2017
19,Test,213,Sri Lanka,Vidarbha Cricket Association Stadium, Nagpur,Home,24 November 2017
20,Test,243,Sri Lanka,Feroz Shah Kotla Ground, Delhi,Home,2 December 2017
21,Test,153,South Africa,SuperSport Park, Centurion,Away,13 January 2018
22,Test,149,England,Edgbaston, Birmingham,Away,1 August 2018
23,Test,103,England,Trent Bridge, Nottingham,Away,18 August 2018
24,Test,139,West Indies,Saurashtra Cricket Association Stadium, Rajkot,Home,4 October 2018
25,Test,123,Australia,Perth Stadium, Perth,Away,14 December 2018
26,Test,254,South Africa,Maharashtra Cricket Association Stadium, Pune,Home,10 October 2019
27,Test,136,Bangladesh,Eden Gardens, Kolkata,Home,22 November 2019
28,Test,186,Australia,Narendra Modi Stadium, Ahmedabad,Home,9 March 2023
29,Test,121,West Indies,Queen's Park Oval, Port of Spain,Away,20 July 2023
30,Test,100,Australia,Perth Stadium, Perth,Away,22 November 2024
31,ODI,107,Sri Lanka,Eden Gardens, Kolkata,Home,24 December 2009
32,ODI,102,Bangladesh,Sher-e-Bangla Stadium, Dhaka,Away,11 January 2010
33,ODI,118,Australia,ACA–VDCA Cricket Stadium, Visakhapatnam,Home,20 October 2010
34,ODI,105,New Zealand,Nehru Stadium, Guwahati,Home,28 November 2010
35,ODI,100,Bangladesh,Sher-e-Bangla Stadium, Dhaka,Away,19 February 2011
36,ODI,107,England,Sophia Gardens, Cardiff,Away,16 September 2011
37,ODI,112,England,Feroz Shah Kotla Ground, Delhi,Home,17 October 2011
